GNa,GNaL,Gto,PCa,GKr,GKs,GK1,Gncx,GNaK,Jrel,Jup,GCa,GKb,PNab,PCab,GClCa,GClb,"INaCa,SS","ICaL,SS",aCaMK,bCaMK,CaMKo,[CMDN],[TRPN],[BSR],[BSL],[CSQN],"tau,diffCa","tau,tr"
12.1978673997,0.0295395459,0.1663572841,8.69751e-05,0.0372481912,0.0009050564,0.7545556081,0.0027648817,17.9947531836,1.4672004716,0.8338414946,0.0005123627,0.0146193795,2.3e-09,5.24e-08,0.3212406245,0.0019686075,0.2960537899,0.8641060175,0.0438149253,0.0006722583,0.0610061951,0.0602948413,0.0689075384,0.0464488744,1.3354572547,11.547034356,0.213771564,74.6903529019
13.4424639718,0.0273248151,0.1901251188,9.13512e-05,0.0371305424,0.0010040384,0.7809216339,0.0039514463,17.1268476174,1.8565891515,1.1881736057,0.0005214081,0.0168048587,1.7e-09,6.4e-08,0.2143692561,0.0022842666,0.3387738542,0.9521311996,0.0594181731,0.0005941635,0.0375011739,0.0583851983,0.0639669885,0.0508943672,1.0007744348,11.2858387246,0.1847274675,58.796537046
10.4752336004,0.0285351652,0.1960534962,8.10097e-05,0.0338832218,0.0013081288,0.5250273964,0.003297368,17.2798986187,1.2115489453,1.0441281054,0.0004763208,0.0156077744,2e-09,6.18e-08,0.3134111419,0.0018354631,0.3384266278,0.747236484,0.0574556899,0.0007317135,0.0566977712,0.0479740252,0.0677023957,0.0448475448,1.2329293394,8.1586405761,0.2158193201,45.7187056207
12.70822524,0.0220038386,0.1802705922,8.21284e-05,0.0337327111,0.0013401989,0.7380934136,0.0035964447,15.1970656564,1.289689728,1.0064565167,0.000541154,0.0144831362,2.3e-09,4.69e-08,0.2453500121,0.0023993358,0.4266331255,0.7677762938,0.0480590635,0.0007936481,0.0386787166,0.0531123147,0.0784804366,0.0529355553,1.1934103124,10.7665204737,0.2179792511,49.7763933086
10.9865965518,0.021635006,0.1804419031,9.8898e-05,0.038631926,0.0010867037,0.8018070024,0.0041460752,15.9700895809,1.3959997658,0.8510413711,0.0005280609,0.0229185682,2.2e-09,5.81e-08,0.2941115956,0.0022665334,0.3586775499,0.9375640192,0.0539560021,0.0005456174,0.0620353984,0.050792067,0.0679371715,0.0413689065,1.282816135,9.8960087975,0.2243050515,55.4249881637
13.7980428656,0.0308117058,0.1667268237,7.75378e-05,0.0248918249,0.0010818069,0.7134516405,0.0041130463,14.8940167711,1.9043310404,0.7784219797,0.0004373886,0.0191763782,1.7e-09,6.41e-08,0.2478884373,0.0016503737,0.4359596043,0.9837343692,0.061716484,0.0008346507,0.047363565,0.0546423446,0.0570432331,0.0546302928,0.9244507252,9.9935056897,0.2371035149,65.1181890118
9.1495389038,0.0315627987,0.142178961,7.22019e-05,0.0245938435,0.0013101315,0.6967747134,0.0039151938,12.0746281801,1.5935646622,1.0152439087,0.0005627431,0.0229917964,1.9e-09,5.64e-08,0.3295473318,0.0015059605,0.2915883002,0.9733980212,0.0600731626,0.0006755784,0.039869348,0.0600246944,0.0804463077,0.0582007333,0.9338480772,8.3504252875,0.2183987128,51.3786154832
10.8559658281,0.0222744108,0.1361907771,6.85999e-05,0.0360118557,0.0009555637,0.5629755194,0.0038219526,13.391184674,1.8464456939,1.1472684661,0.0005069096,0.0154686111,2e-09,7.37e-08,0.2293574468,0.0015877834,0.2891373805,0.6268347214,0.0622893565,0.0007050522,0.050872956,0.0425493067,0.0537877638,0.0553341202,0.945518239,11.5034744966,0.1765241462,74.4233162666
9.0232615312,0.0304932624,0.1406573185,6.87311e-05,0.0387908494,0.0008269201,0.7981046556,0.0035641342,16.0185943783,1.6385129714,1.1670302043,0.0004069866,0.0234202579,2.4e-09,5.56e-08,0.2785125033,0.001846991,0.409997777,0.9419379116,0.0507950364,0.000573932,0.0445482186,0.0464467095,0.0539313695,0.0538103153,1.2478873462,9.2747653847,0.1858114721,45.0279262667
12.3473723324,0.0328728134,0.1548209876,9.69903e-05,0.0354911541,0.0011242426,0.7366673804,0.0031746854,19.2375231816,1.5056255083,0.8847322698,0.0004017135,0.0219782303,2e-09,4.55e-08,0.2833295537,0.0016003667,0.3464308446,0.6214629887,0.0545859982,0.0006498347,0.0624193161,0.0503635688,0.0654485373,0.0411497405,1.2815749616,9.3071160152,0.1751447455,63.9322571798
10.4277136532,0.0230532647,0.1323795505,7.75104e-05,0.0301149319,0.0009416581,0.5791219808,0.0028602158,18.1631962719,1.7395877923,1.0170389307,0.0004739629,0.0190168418,2.2e-09,6.19e-08,0.321185418,0.0015562193,0.3474187685,0.7581709538,0.0468774646,0.000578087,0.0473534162,0.0582778612,0.0794130954,0.0446301181,0.8533522745,10.565445905,0.2198996828,68.3350740807
11.0749704562,0.0236646366,0.1627179864,9.322e-05,0.0287235929,0.0012908275,0.8192409753,0.0038589683,15.523173863,1.1585020849,1.235967524,0.0005870739,0.0156744083,2e-09,6.91e-08,0.288152377,0.0021653889,0.4034388559,0.9004060508,0.0517960936,0.0006151139,0.0619278533,0.0568523947,0.0714635295,0.0465686666,0.9293027096,7.6417557704,0.1921333288,63.6246823589
14.5826325431,0.0243173225,0.1619113522,9.75834e-05,0.037194653,0.0012128736,0.5345672773,0.0026591536,13.8660262917,1.7282767322,0.8403714727,0.0003996442,0.0153273139,1.7e-09,6.65e-08,0.2303250069,0.0019926859,0.3614059604,0.7642173883,0.055654387,0.0007430502,0.0389755973,0.0423168618,0.061881306,0.0412194163,0.8772405338,10.4485109331,0.248239427,64.791061883
10.7942046712,0.0323899536,0.1876439411,0.000101658,0.0394912442,0.0011597439,0.6732181065,0.004056946,13.4331101963,1.8900729275,0.807472726,0.0005625694,0.0213452258,1.9e-09,6.69e-08,0.2200836297,0.0024380454,0.3553839157,0.9231915952,0.0494544216,0.0007222252,0.05973532,0.0448199614,0.0586605513,0.036311214,0.9204710816,9.0456328081,0.1645934189,54.4595836157
9.5773192061,0.0279854067,0.1663871701,6.78883e-05,0.0361653271,0.0009708228,0.7494580961,0.0040198907,12.5922337882,1.6018220515,0.8441784541,0.0006112275,0.0178595879,2e-09,5.88e-08,0.270941305,0.0019501967,0.4157750704,0.6795536472,0.054115446,0.0006435427,0.060591577,0.0406675743,0.0739084016,0.0430027144,0.8523646127,12.4469969321,0.2345138002,70.7837948729
12.5298449465,0.0245159303,0.1629507664,6.88757e-05,0.0340615837,0.000857833,0.7765664398,0.004009414,18.6877106791,1.5366843874,1.1628835835,0.0003811546,0.0180859893,2.1e-09,5.61e-08,0.3262943253,0.0021333236,0.371211643,0.965690609,0.0502881122,0.0006386404,0.0610360457,0.0596338058,0.0549453502,0.0548830747,1.2161745818,9.9332700197,0.2062971476,63.5335486672
11.5649540991,0.0273467611,0.1594378058,8.05436e-05,0.0247478556,0.0011005192,0.8289093252,0.0026693637,13.6611626329,1.6753042472,1.1667694808,0.0006138914,0.0145718555,1.6e-09,5.91e-08,0.2796476324,0.00237522,0.3910639879,0.7108132529,0.039297688,0.0007486936,0.0446157488,0.0549350362,0.057472481,0.0533486614,0.9979483876,8.5684911746,0.1664583306,51.4005026559
13.0904284443,0.033023802,0.1777659758,7.48002e-05,0.029655987,0.0011635746,0.818736308,0.0025720546,15.0969347154,1.7623930025,1.1416098583,0.0005584176,0.0170529559,1.5e-09,7.14e-08,0.2258015741,0.0023567071,0.3786448696,0.744216117,0.057100893,0.0005513222,0.0450267047,0.0375550661,0.0550839289,0.057356076,1.140714836,9.2911002683,0.2006249492,67.8917961289
10.4936958411,0.0243054074,0.1755295089,8.97965e-05,0.0287710967,0.0013372193,0.6759691345,0.0037999703,11.6845391142,1.7381521575,0.8914348228,0.0004977875,0.0159617189,1.6e-09,6.01e-08,0.2959993844,0.002010098,0.2688599308,0.8669041746,0.0546442807,0.0005805114,0.059526206,0.0450248025,0.0872384654,0.0384197619,1.3905208738,12.2483364609,0.1691623821,52.7553095388
9.0878904622,0.0333766348,0.1400370751,6.57884e-05,0.0374960758,0.001004833,0.6778894435,0.0027809233,15.9026700798,1.6136132562,0.9286851224,0.0004622167,0.0183343154,2e-09,5.23e-08,0.3223941667,0.0018205483,0.4191518127,0.8810855423,0.0482872157,0.0007147111,0.0466753823,0.0624581416,0.0863842576,0.052483478,1.21058941,12.4384030462,0.239536784,47.4161999856
14.707557081,0.0245463814,0.1352498904,9.31165e-05,0.029672509,0.0010222102,0.7849377679,0.0042332133,13.5076321156,1.3933299592,0.907081708,0.0004354464,0.0231211919,2.2e-09,5.8e-08,0.2592635459,0.00225734,0.2860975366,0.9659393505,0.0418039704,0.0005929379,0.0536737478,0.0620894985,0.0690044584,0.0522665182,1.091981307,9.6574646443,0.211880827,50.2730854988
13.7416914515,0.024299357,0.1238584778,7.14316e-05,0.0287377942,0.0010314178,0.528300295,0.0041473257,11.7473302354,1.2236143057,0.8055544594,0.0005438879,0.0151382018,2.1e-09,5.22e-08,0.2934141543,0.001656424,0.3390058725,0.997722476,0.0391023679,0.0007688876,0.0541170762,0.0586753411,0.0591786401,0.0451741383,1.0497272929,9.8058868191,0.1573699001,57.7052438248
14.128698244,0.0318414483,0.1715868146,7.85786e-05,0.0250535375,0.0009005305,0.6725779299,0.0034439303,15.8548625771,1.2436039548,0.8144718499,0.0005086011,0.0192322836,2.2e-09,6.06e-08,0.3133364238,0.0020544721,0.3777684912,0.9387738864,0.0434402283,0.0007980762,0.0476079428,0.050504944,0.0547943329,0.0449912605,1.2963243545,10.8297979466,0.2476816948,54.9526380694
9.3592233892,0.0268595424,0.1335232726,7.73697e-05,0.0256610401,0.0009212628,0.5982434823,0.0028043841,15.7672774299,1.5137848208,1.1981509019,0.0006181235,0.0165657734,1.6e-09,4.65e-08,0.3348943894,0.0021138431,0.3005627653,0.8570748741,0.050449168,0.0006528508,0.0498867005,0.0607843446,0.064731964,0.0542468694,1.0654727052,11.7424364711,0.2354575324,58.6429979109
10.6492201409,0.0286644519,0.1656409607,7.79341e-05,0.0346731185,0.001217436,0.6649152466,0.0039631725,14.928779283,1.3846356088,0.791084559,0.000512544,0.0207988031,2.3e-09,5.9e-08,0.2330385051,0.002360394,0.3628936745,0.6372595845,0.0470434774,0.0007488952,0.055409232,0.0436897322,0.0729708175,0.0410914542,1.2133361342,9.4922009411,0.1659751072,71.4594329822
12.1362194569,0.0307852549,0.1359351425,6.55943e-05,0.0350377944,0.0010267729,0.5481526043,0.0026411968,14.8977852113,1.7027577646,1.0731258177,0.0005014855,0.0228843125,1.9e-09,4.99e-08,0.314883742,0.0024728942,0.3665669921,0.9600875083,0.0541901644,0.0006741262,0.0569164891,0.0438004515,0.0605925162,0.0460715142,1.3202180663,11.1387305705,0.171605813,59.2370602557
12.923409618,0.0214169186,0.1720259852,0.0001007761,0.0365102624,0.0009138369,0.5967123369,0.0039655571,16.0885678301,1.3420624229,0.9174603911,0.0004492576,0.0209742201,2e-09,7.12e-08,0.2548845726,0.0015433272,0.2815097476,0.9384599776,0.0375804144,0.0007120564,0.046364156,0.0557203732,0.0860366787,0.050053117,1.3361629217,8.9500761989,0.1989793554,54.4915120355
13.9163023927,0.0220900798,0.1875959231,8.77271e-05,0.034528796,0.0008725755,0.7290237813,0.0035590573,18.1554308688,1.2120920662,0.9445755474,0.0005565165,0.0162177157,2e-09,4.48e-08,0.274440756,0.001801952,0.3211163986,0.6144035265,0.0420641276,0.0006738159,0.0542550415,0.0533522065,0.0870928621,0.0361519023,0.923494457,11.7932807015,0.1989545194,61.2522958228
11.1674928147,0.032779342,0.1856894268,9.71366e-05,0.040089373,0.00113313,0.6144527921,0.0032663541,13.7124669707,1.752738648,1.1038262764,0.0005706767,0.0202601328,2.4e-09,5.05e-08,0.2473275184,0.0023249169,0.3450118928,0.7972300776,0.0473636129,0.0005416078,0.058238606,0.0539419425,0.0590567736,0.0508723909,0.9847063934,9.546589707,0.1890238074,57.8696731731
10.2563804619,0.0239497273,0.1430786797,8.12099e-05,0.0374826733,0.0010623897,0.6047879171,0.0039191612,13.7608828403,1.5148346923,1.0986553481,0.0006205891,0.0195135366,2e-09,5.34e-08,0.2916507993,0.0021217898,0.3624405076,0.7494954185,0.0413109919,0.0005209251,0.0412118756,0.0479088217,0.0552121919,0.0583633378,1.0718886681,10.1831013606,0.1982450324,67.2790497599
11.2126486104,0.0335995812,0.1401171415,8.82568e-05,0.0366866991,0.0011653521,0.5384519206,0.0028339108,14.0415316358,1.3153663597,0.8375134864,0.00050379,0.0188991685,1.5e-09,5.92e-08,0.2916744982,0.0016464204,0.3034737993,0.9922753772,0.0585614441,0.0007383754,0.0523132549,0.0546014271,0.0702062419,0.0411992489,1.1540875704,8.7242684744,0.2059744659,59.9681768159
10.8895479101,0.0307586094,0.1338646715,7.92844e-05,0.0353323948,0.0013362975,0.7498366258,0.0035766092,14.3550005585,1.9091645338,0.90793252,0.0004029625,0.0192649623,1.9e-09,4.45e-08,0.2561579268,0.0015787177,0.308007514,0.7562497535,0.037822744,0.0007148652,0.0610593258,0.0447565032,0.0703272444,0.0361594251,1.3796531947,8.3430294965,0.2043755236,62.0461993315
11.5771412304,0.0221736967,0.1308108853,7.3303e-05,0.0401032754,0.0011403153,0.7349235448,0.002826141,13.0984668894,1.6318795566,0.8024300136,0.0005435839,0.0214628621,2.4e-09,6.65e-08,0.214935508,0.0016405302,0.4224716137,0.6702347714,0.0488971864,0.0006765528,0.0420020402,0.0433258383,0.0636433435,0.0404053095,1.0118353442,9.2354963472,0.2012227945,55.6108568585
12.8416628916,0.0316891563,0.1671661018,6.90934e-05,0.0325565847,0.0012887084,0.8126261533,0.0040506233,17.1256159724,1.2636361978,1.1994812944,0.0005291128,0.0197565406,1.8e-09,6.21e-08,0.26246743,0.0020141197,0.2937246206,0.9042189185,0.0532320546,0.0005127311,0.0559530148,0.0568118614,0.0771095903,0.0562460435,0.9276542909,9.3184811833,0.1570171081,55.3645584822
14.4695454099,0.0331613355,0.1826737259,9.81539e-05,0.0377288843,0.0011013575,0.6776274474,0.0034843737,18.2952111504,1.7561477165,0.8669858658,0.0005491506,0.0189442459,2.3e-09,7.05e-08,0.2912515837,0.0019406377,0.3531008465,0.7222005609,0.0595525321,0.0005306609,0.0578587916,0.0508856124,0.0603395273,0.0539199014,1.1671004056,9.19518811,0.1702855014,48.3370141619
13.7141879284,0.034042567,0.1528210196,7.66493e-05,0.0371871886,0.0012698716,0.7570846202,0.0034641714,18.4450459062,1.6299915385,1.011317944,0.0004488042,0.0187645354,1.7e-09,7.22e-08,0.2298147389,0.0018249079,0.3705563974,0.706238046,0.0587418257,0.0007165299,0.0573562413,0.0450401138,0.0602103173,0.049729563,1.0746234865,10.2674571999,0.2345576274,66.1025619309
10.3206256412,0.0327441018,0.1550510253,9.03364e-05,0.0327521731,0.0010905524,0.7660754944,0.0040390722,13.7967475788,1.4797011599,0.9315870876,0.0005392907,0.0142310336,1.6e-09,5.11e-08,0.2155756164,0.0022879652,0.3552155591,0.8818844701,0.0459760735,0.000744524,0.0414835419,0.038110401,0.0823515313,0.0390300209,1.387594561,8.0228873125,0.2225752175,57.1303911113
14.3680735173,0.0263373937,0.167478656,7.54754e-05,0.0357292957,0.0012836939,0.7506054733,0.0041198686,18.5010285836,1.5456324957,1.0493956352,0.0005236137,0.0216299888,1.9e-09,5.94e-08,0.3163279762,0.0020718199,0.3613724936,0.725948584,0.050107173,0.0007307896,0.0391811255,0.0548560613,0.0646553242,0.0398305072,1.1897231887,8.6241223083,0.1622288891,50.9798943895
9.8275549804,0.0328359404,0.1216328114,9.89378e-05,0.0366820857,0.0011361815,0.5670414786,0.0037212844,17.344586606,1.7665485054,1.0365602633,0.0003790272,0.0179392773,1.7e-09,6.71e-08,0.2870554062,0.0021090249,0.3435716476,0.8200536994,0.0523470375,0.000589281,0.0429670588,0.0531050629,0.0812306283,0.0488350293,1.3435792571,8.4835854444,0.1508904209,65.5077205025
11.4456442177,0.0210429725,0.1222834229,7.39907e-05,0.0331123671,0.001059224,0.7183324369,0.0039997303,17.2499556517,1.8925405953,1.1026479443,0.000378629,0.0155574495,1.6e-09,6.72e-08,0.262767071,0.0021532035,0.3914596662,0.6462974951,0.0509751335,0.0007983642,0.045957533,0.053734521,0.0642997973,0.0441045022,1.1245912447,7.7280584238,0.1714682306,73.3361254396
14.2963813377,0.0235147242,0.1325084412,7.29078e-05,0.0306306549,0.0011039829,0.6672298835,0.00316307,16.7769015768,1.4126228971,1.0591594316,0.0003814968,0.0193392485,1.9e-09,6.3e-08,0.2661124673,0.0022607206,0.4080303461,0.725447225,0.0525669423,0.0006130436,0.0398460648,0.0525014052,0.0845984631,0.0503009145,1.1239706781,8.2830548008,0.2148602991,52.7214535742
11.8669530897,0.0317475137,0.1817643668,9.94425e-05,0.0275604217,0.0009703284,0.7390969613,0.0031904646,13.0180488004,1.1805399806,0.970381119,0.0004034111,0.0226755703,2.3e-09,6.01e-08,0.2362571899,0.0019275734,0.2694955466,0.9683572553,0.0465959841,0.0006273589,0.0404424069,0.0558204568,0.0600055073,0.0583149471,0.8604008796,11.2259167872,0.1920803589,45.1796668431
13.3627331115,0.028416668,0.1955030764,9.48552e-05,0.0367052075,0.000892568,0.6864740313,0.0038898101,15.2344370309,1.6901421977,0.895448506,0.0003970955,0.0166305594,1.9e-09,7.09e-08,0.2831228295,0.0018649573,0.3682385301,0.7778007131,0.0578239206,0.0007751616,0.0601668996,0.0430664579,0.0708859095,0.045133367,1.0055577008,10.5561845053,0.2356663469,45.6148033551
12.9156693693,0.0332801101,0.1626544628,8.44765e-05,0.0250710227,0.0011441904,0.5581240219,0.0040993685,14.8516341247,1.6196538255,1.0902791086,0.0004506912,0.0158758776,2e-09,7.33e-08,0.342787004,0.0022847287,0.3900837912,0.658614009,0.0527023218,0.0008395329,0.0560332331,0.0387732424,0.0764442706,0.0577930146,1.1879356653,10.1785167586,0.1884112374,50.1807280869
13.6834666466,0.0329682975,0.1549763314,7.1528e-05,0.0352727436,0.0013697451,0.562558123,0.0039731339,18.5938927883,1.6087563059,0.8975233793,0.0004831312,0.0173777124,1.5e-09,6.52e-08,0.312473609,0.0023666463,0.2931222992,0.8636328638,0.0379970539,0.0008475932,0.0423888027,0.0395243239,0.054773467,0.0436132883,0.9243574734,9.2668510463,0.2021994569,56.2715402921
13.1746381217,0.0298804967,0.1614351368,7.30632e-05,0.0362993934,0.0012514661,0.6615968624,0.0038637133,12.0458883112,1.5358474382,1.1101924803,0.0006072652,0.0142614071,2e-09,7.29e-08,0.3020291392,0.0016570024,0.352334723,0.7167512099,0.0575071295,0.0006073041,0.0445151212,0.0525889887,0.0696531281,0.0427654436,1.218382973,8.2742131837,0.1503579777,63.4400568847
12.1598360572,0.0258991849,0.1464408339,8.3094e-05,0.024167158,0.0009089784,0.5315658216,0.0026699279,17.9001600707,1.3113478983,0.9022489174,0.0004387194,0.0212381986,1.5e-09,5.34e-08,0.2337572697,0.0015885322,0.4060963206,0.9179379483,0.0580436015,0.0007033954,0.0490554946,0.0602845057,0.0645808075,0.0411418323,1.0248969476,10.3186425598,0.2434494094,61.7832029148
9.1958640677,0.0286550458,0.1740332502,8.02845e-05,0.0377560817,0.0009455794,0.8271975416,0.0031969838,17.7638133564,1.8333103084,0.7603172402,0.0005805466,0.023068257,1.7e-09,4.67e-08,0.2336758435,0.0019361792,0.2895845502,0.9054925101,0.0428676109,0.0007877435,0.0498974479,0.0506847643,0.0853387444,0.0396856508,0.8844215912,9.2270725272,0.2425756846,71.1869564887
10.4083052075,0.0283664812,0.1922719064,9.92287e-05,0.0393137965,0.0012046896,0.7734295768,0.0037635862,18.8086676197,1.6177136363,1.1112946973,0.0004192417,0.0151131981,2e-09,5e-08,0.3203842926,0.0017314109,0.3046350406,0.8785694139,0.0613229594,0.0007830508,0.0467412344,0.0413405442,0.0751244163,0.0572273434,1.3037522183,11.5877565178,0.1700121122,69.9848782401
12.8229526579,0.0301185672,0.1489354844,0.0001037785,0.0269689446,0.0012614165,0.7976663469,0.0036787887,18.9348376893,1.1645228681,1.1907911093,0.0003806714,0.0205731647,2.1e-09,6.42e-08,0.2219785121,0.0021184699,0.3420880255,0.9160769832,0.0515511208,0.0005245812,0.0565452335,0.0482149809,0.0571691521,0.0557096128,1.1795638721,12.3221276907,0.2403232435,54.2647092293
11.9247298658,0.0253915851,0.1634636616,0.0001043236,0.0259684027,0.0011240505,0.7933936092,0.0033362046,17.1139724412,1.5071202803,0.8241814839,0.000487557,0.01475494,1.8e-09,6.31e-08,0.3176963243,0.0015899912,0.3030995289,0.7296840096,0.0435813976,0.0006210779,0.046179178,0.0610754469,0.0694908172,0.0451552051,0.9411194094,9.3322737306,0.2252824498,48.6691804886
12.1119210714,0.0310061319,0.1855201519,0.000102266,0.0253236756,0.0009864857,0.6846417111,0.00364037,12.7463494559,1.518019344,1.1808408944,0.0005030438,0.0217589592,1.8e-09,5.84e-08,0.2222003329,0.0023379473,0.3097402402,0.8747073052,0.0439422659,0.0005755511,0.061631236,0.0467121884,0.0688428438,0.0556121459,1.0762748068,12.2056285216,0.1771902631,70.1228308998
9.4723691899,0.0327532145,0.1534242233,9.8035e-05,0.0346488641,0.0011150172,0.811320073,0.002686688,16.3481962299,1.3729234944,0.8294585141,0.0005482,0.0170075526,1.7e-09,4.58e-08,0.2747563355,0.0023383136,0.4125142455,0.6204564067,0.0377267632,0.0006834487,0.0487563893,0.0614253714,0.0796206473,0.0396090194,1.1773770528,8.4427106758,0.1575959719,53.7233762369
11.6361823154,0.0280031509,0.1469728935,8.91331e-05,0.026287618,0.0011350224,0.6957156277,0.0029922303,17.1455988015,1.9184143777,0.7975252269,0.0004204187,0.0179917979,1.9e-09,4.67e-08,0.285906455,0.0020680998,0.3696756533,0.6104704936,0.0446784278,0.0007993296,0.0407879696,0.0465059838,0.07947866,0.0575978536,1.1554880016,11.0628674614,0.1972589264,59.8007630892
12.0537459782,0.0301625885,0.1421300261,6.90397e-05,0.0269524023,0.0012820345,0.8546911959,0.0027112058,12.1665565129,1.9105024134,1.1948477828,0.0005292262,0.0213704895,2.4e-09,5.75e-08,0.3139961573,0.0020417255,0.3707280287,0.6524799932,0.0583081151,0.0007475886,0.04111378,0.055175868,0.0577070755,0.0487640992,1.2990009179,7.9250502026,0.2029789207,71.8771535299
10.167841152,0.02406787,0.1463228222,9.85278e-05,0.0288340329,0.0009873783,0.5984793339,0.0032225376,12.7316577637,1.3971595026,0.7509467213,0.0004935472,0.0155821721,1.7e-09,5.32e-08,0.340873332,0.0017992682,0.4014894557,0.9051331305,0.0465198179,0.0005633804,0.0458944335,0.0420037955,0.0752975142,0.0402324617,1.3176797122,12.1072004864,0.1541624616,45.161124056
10.5413819346,0.0302192015,0.1722959839,8.04846e-05,0.0247005027,0.0009691212,0.7854296448,0.0033886197,19.0987717839,1.8222107691,0.8927832304,0.0004370021,0.0205473101,1.9e-09,5.07e-08,0.3107581046,0.0021497471,0.4102309637,0.9669869559,0.0490234974,0.000687915,0.0409460527,0.0484975619,0.0641219515,0.0482721371,1.0080216901,12.0562604133,0.1972730683,72.2583173249
9.141408732,0.0253483286,0.1305323066,8.01135e-05,0.036285766,0.0011692221,0.61547177,0.0041151109,12.0067468924,1.379929874,1.0954769804,0.0005952561,0.0151750211,2.1e-09,6.76e-08,0.2169300618,0.00230421,0.2869899808,0.9866504571,0.0603097457,0.0008221934,0.0549051883,0.0400376153,0.057851113,0.0531798767,0.8711090641,9.8293251653,0.1567305322,72.4572520154
