Iup(max),[Trpn]max,"gb,Ca",gCaL,INaCa(max),"Ip,Ca(max)",[Cmdn]max,"tau,tr","Tref,a","TRPN50,a","nTm,a","nTRPN,a","kTRPN,a","rs,a","rw,a","Aeff,a","ku,a","beta1,a","beta0,a","gamma,s,a","gamma,w,a","phi,a","ca50,a","nu,a","mu,a"
0.00734696,0.088445,0.000839246,0.122972,1105.73,0.32081,0.0488896,116.338,77.3228,0.279074,5.29266,2.92173,0.076635,0.335061,0.494085,24.4501,1.16093,-3.27105,1.59834,0.0114913,0.559161,2.52633,0.736631,6.67748,4.95082
0.00552139,0.0671244,0.00109323,0.164068,1010.89,0.239297,0.0504377,232.289,168.401,0.359799,5.84661,1.46327,0.131297,0.364362,0.556301,23.0992,1.1294,-3.4277,2.98137,0.0101251,0.402476,1.27734,1.14025,8.53784,6.44849
0.00667494,0.0472888,0.000703218,0.167954,2092.73,0.186415,0.0606961,254.869,75.2163,0.511315,3.53086,1.91693,0.112441,0.329248,0.696206,12.6775,0.653626,-1.54785,1.98555,0.00574389,0.910865,2.41492,1.04423,9.08751,10.8399
0.00379927,0.0391016,0.00156369,0.0711463,1157.62,0.172157,0.0720008,100.259,93.3172,0.388539,6.08275,1.11217,0.10463,0.153898,0.431249,36.0623,0.51546,-2.50354,2.06742,0.00664267,0.475065,1.85741,0.946101,5.20415,9.83402
0.00606144,0.061823,0.00125789,0.169214,1463.24,0.402651,0.0592674,158.084,60.0116,0.489037,5.58244,2.9507,0.0547666,0.265839,0.260355,36.6482,1.09779,-3.44974,3.16097,0.00591938,0.505893,3.03024,0.713286,5.69763,5.52436
0.00602633,0.0795601,0.00145972,0.0924497,1088.24,0.242813,0.0425604,188.467,98.2312,0.288504,7.18783,2.86801,0.102131,0.335531,0.556936,17.4671,0.941001,-1.61323,3.13393,0.00565768,0.734372,2.33524,0.95291,4.05072,10.6429
0.00661338,0.0913947,0.000754945,0.149408,1584.96,0.26176,0.0571347,219.896,159.545,0.183666,5.09843,2.87695,0.134552,0.27283,0.453264,17.9355,0.796984,-2.38859,1.41883,0.0107187,0.75229,2.60709,0.943111,5.32112,8.95132
0.00582752,0.067903,0.000922477,0.172184,1061.94,0.377531,0.0734838,192.802,62.4853,0.362937,7.31023,1.84445,0.117135,0.222532,0.313692,24.4194,1.06257,-1.29796,2.3539,0.0112129,0.598341,3.2903,1.02394,9.35303,6.29912
0.00745915,0.0888616,0.00138738,0.0703443,2053.95,0.188493,0.0656665,189.584,153.86,0.438992,4.52072,1.85248,0.117295,0.239797,0.473711,18.8158,1.38948,-2.14121,1.27804,0.0044552,0.804087,1.66458,1.12548,6.09496,5.13161
0.00648386,0.0897147,0.00150747,0.099937,1362.22,0.23123,0.03018,184.969,130.944,0.485908,3.14363,2.70133,0.128994,0.256892,0.275872,22.2676,0.874869,-2.20886,2.37872,0.00948617,0.647619,2.81142,0.801364,8.29701,12.7036
0.0056941,0.0637773,0.000961337,0.128692,875.497,0.382675,0.0412524,185.419,179.94,0.243785,5.47774,1.45567,0.0589946,0.285301,0.655382,27.7143,1.36471,-2.58257,3.4322,0.0100912,0.776242,1.73809,1.21101,8.1988,8.55942
0.00478799,0.082944,0.00143229,0.145814,1001.63,0.292691,0.0550402,162.803,133.572,0.401971,4.87756,1.78651,0.0759943,0.216526,0.459797,31.0735,1.03712,-3.40134,3.43571,0.00630001,0.841353,2.03084,1.14021,6.95635,5.06957
0.00494906,0.0841483,0.00138424,0.0889243,888.829,0.386354,0.0373331,116.672,68.7542,0.520071,6.15089,1.75437,0.124681,0.271889,0.481482,28.1397,1.40569,-3.48876,2.52205,0.00982377,0.818645,1.49655,0.780795,5.94307,10.2059
0.00457579,0.0488271,0.00085018,0.126465,1168.1,0.248323,0.0285802,263.739,62.594,0.29364,5.93184,1.51788,0.103861,0.28292,0.338832,17.5415,1.1086,-1.98891,1.18565,0.00590982,0.310529,3.06069,1.22616,4.44968,4.67429
0.00388129,0.0360886,0.00147957,0.084786,1295.26,0.410843,0.0399319,138.713,143.121,0.294425,5.81872,2.32003,0.128286,0.302456,0.343319,20.0667,0.960837,-3.43227,2.31855,0.00475727,0.699482,2.29142,0.881008,5.99033,5.11673
0.00580765,0.0447614,0.00107946,0.184093,1899.26,0.327056,0.0725549,251.544,81.792,0.319439,6.52093,2.95641,0.103732,0.270622,0.291186,29.2136,0.962055,-2.60765,2.5301,0.0060584,0.630983,2.37354,1.15585,6.35541,11.0683
0.00594594,0.0477798,0.00162564,0.11058,2130.59,0.326513,0.0555559,171.227,110.094,0.431481,4.6786,1.755,0.0746652,0.14203,0.604248,35.1697,1.36864,-1.52198,1.43585,0.00928469,0.4837,1.52932,0.596448,6.44283,11.3756
0.00678884,0.0690242,0.0014292,0.111778,1597.19,0.264246,0.056836,258.365,102.584,0.419227,4.91795,2.34384,0.120993,0.156285,0.73377,17.3799,0.883277,-1.89295,2.55369,0.00458423,0.753317,1.65659,1.23672,8.63487,8.54606
0.00337477,0.0555514,0.000674911,0.184714,1826.74,0.245449,0.0585855,124.421,158.131,0.380922,2.75594,1.91211,0.098121,0.297258,0.481015,18.8938,1.27184,-1.45364,2.5392,0.0065831,0.633115,1.84853,1.19875,5.31085,11.1063
0.00544457,0.0708412,0.000805676,0.113852,1092.97,0.146851,0.0501067,244.545,67.7847,0.348626,4.64893,1.87895,0.0560075,0.199562,0.567958,13.2564,0.937471,-3.25446,3.18961,0.00759584,0.856743,1.60235,0.86386,5.14833,7.96652
0.00627165,0.0511883,0.00117263,0.170229,1394.54,0.38103,0.0732113,159.299,88.6733,0.475226,7.27172,1.07589,0.108133,0.367757,0.648156,18.5602,1.35441,-1.91928,1.49717,0.0106656,0.662033,2.87693,0.769349,5.95092,7.31078
0.00683456,0.0762745,0.00162163,0.124102,1447.17,0.165208,0.0697653,123.483,170.266,0.40491,2.73442,2.03629,0.095246,0.213576,0.257346,31.4758,0.680957,-2.80257,1.30766,0.00437828,0.428955,2.3553,0.966059,9.62837,5.75662
0.00404422,0.04842,0.00124208,0.153346,1966.12,0.238795,0.070072,118.774,137.336,0.212498,3.63302,2.31994,0.121919,0.328886,0.438143,18.6781,1.37524,-1.47192,2.19905,0.00937753,0.70455,1.3544,1.2392,5.52604,11.473
0.00715059,0.0879659,0.000783703,0.168746,1735.33,0.151472,0.0615253,154.837,86.7431,0.488213,6.08761,2.3037,0.100827,0.13845,0.478963,32.9677,1.42229,-2.96423,1.7462,0.00960127,0.785577,1.5295,1.28523,8.14774,5.95886
0.00339905,0.0506972,0.00111096,0.133859,894.539,0.25332,0.0475317,102.8,129.274,0.325919,3.23241,2.75818,0.0989646,0.235746,0.660052,37.3114,0.836695,-1.42914,2.69911,0.00669718,0.43501,1.20963,0.581289,6.23631,9.68188
0.0065486,0.0844988,0.00125733,0.124772,923.252,0.146726,0.0432611,196.035,125.076,0.480803,5.77074,2.44094,0.0818071,0.240131,0.616899,26.0264,0.951106,-2.96202,3.31154,0.011541,0.391742,1.62822,1.01012,7.69648,9.99778
0.00372707,0.0606576,0.00153995,0.167016,1946.41,0.208281,0.0347915,145.339,105.807,0.41619,6.91233,2.74852,0.0596736,0.195908,0.341192,26.7849,1.23532,-2.50777,2.14887,0.008712,0.707369,1.58227,0.60307,6.04525,7.49542
0.0053362,0.050504,0.00128744,0.159553,1449.5,0.38995,0.0546792,200.101,82.1677,0.328953,4.55712,1.98209,0.103321,0.373232,0.57519,32.769,0.511115,-2.65413,3.11488,0.00961916,0.5978,2.20114,0.806406,10.2383,8.77788
0.00656819,0.079606,0.00129713,0.152922,1839.22,0.262059,0.035268,255.718,103.513,0.285617,5.50025,1.68795,0.116599,0.283684,0.712089,14.4697,1.16643,-1.71897,3.15738,0.0108715,0.728999,3.02565,1.2786,8.01255,11.5753
0.00616233,0.0773194,0.000673588,0.155328,926.798,0.185037,0.0291603,142.648,81.0946,0.517078,4.40358,2.96727,0.103684,0.346704,0.747944,23.7168,0.605181,-2.14559,1.82987,0.00694276,0.754448,2.64331,0.515265,4.25172,5.0481
0.00587216,0.0872722,0.0011469,0.134205,1000.57,0.171566,0.0534286,237.27,63.1289,0.407481,6.54541,1.12669,0.0648069,0.33101,0.649715,26.0712,1.09023,-1.94918,3.28426,0.00947386,0.62181,1.7246,0.938278,4.27767,8.62988
0.00734786,0.0929963,0.00111639,0.182368,1506.86,0.276583,0.0475575,228.823,138.09,0.219497,3.69133,1.92565,0.0976903,0.132224,0.74517,15.9238,0.796529,-2.07764,2.90037,0.0121254,0.815851,2.1717,1.28856,8.5237,13.1151
0.0039225,0.0716435,0.00161748,0.15886,1930.23,0.312003,0.0341273,252.604,142.894,0.514602,4.96513,2.35899,0.0744513,0.16978,0.708265,20.8224,0.679149,-2.24327,1.26602,0.0104559,0.642475,2.80375,1.16257,8.83236,9.83856
0.00446249,0.0561908,0.000591416,0.137207,1161.98,0.147534,0.0358407,227.682,80.6159,0.218519,5.53072,2.87216,0.0612991,0.169676,0.362611,30.2365,0.66584,-2.82411,1.37456,0.0093966,0.500872,1.72253,0.721948,9.44794,6.28035
0.00563272,0.0825944,0.0013877,0.182372,1642.59,0.164172,0.0297834,247.098,96.9163,0.322439,6.19362,2.44492,0.0720715,0.235269,0.595968,27.1262,1.16662,-2.06199,1.90382,0.00674372,0.628574,3.06721,1.24427,6.387,9.18286
0.00727699,0.0847486,0.00142291,0.097213,1639.55,0.349675,0.0616847,100.883,145.693,0.251326,3.29555,1.95309,0.135899,0.326929,0.506201,13.6142,0.611373,-2.31634,1.16148,0.00486311,0.332766,1.46886,1.01175,10.1488,11.2284
0.00630498,0.102586,0.00167081,0.0833771,2032.66,0.387062,0.036817,174.49,175.579,0.260657,4.60654,2.67778,0.0667665,0.265738,0.583074,13.0156,1.35122,-2.94581,2.38363,0.00471855,0.631904,2.46657,0.730244,5.65904,6.57294
0.00586013,0.0915251,0.000970457,0.0942087,881.095,0.200419,0.0542186,240.846,174.572,0.265206,6.37286,2.52124,0.108416,0.35419,0.274173,34.3951,0.819804,-1.95044,1.64791,0.00813874,0.461637,3.19643,1.06611,9.23006,11.1525
0.0045811,0.0620224,0.00142952,0.182186,1378.8,0.165468,0.0551291,240.189,165.166,0.366098,4.98389,2.17689,0.104812,0.282084,0.458563,15.0805,1.33823,-3.22308,3.0446,0.00800349,0.613252,3.18138,1.23687,6.56359,12.4292
0.00373001,0.0506641,0.00082405,0.157398,1460.4,0.214965,0.0663051,244.313,167.466,0.478307,7.1481,2.56567,0.125914,0.302358,0.580848,21.5606,0.779256,-1.75734,1.70672,0.0127328,0.898613,2.17287,1.04909,9.75509,13.1285
0.00455424,0.0555442,0.00131258,0.0822585,1219.49,0.244285,0.0318189,247.57,62.1834,0.335401,4.43952,2.87051,0.0815421,0.339115,0.745743,23.6907,1.1575,-2.8176,3.11526,0.00975421,0.449469,2.34842,1.09239,6.51146,10.2317
0.0036796,0.0591439,0.00062881,0.139152,1123.24,0.350732,0.0519633,114.2,110.997,0.448365,6.31688,2.67234,0.0822939,0.237943,0.672491,27.3033,0.852101,-3.35262,1.8969,0.010947,0.452577,1.39596,0.602397,4.68393,8.27044
0.00653804,0.0923596,0.0012079,0.173851,2396.93,0.207124,0.071852,266.954,107.426,0.252729,4.83782,2.34567,0.0699359,0.235235,0.335617,17.0758,1.15252,-1.58348,1.37399,0.0103891,0.758426,2.92482,1.28824,10.2251,5.17219
0.00739007,0.0743664,0.0015991,0.0702291,2295.13,0.145923,0.0354468,93.772,142.556,0.224375,5.75246,1.98337,0.142294,0.139494,0.458879,28.4375,1.00987,-2.2446,1.93037,0.00696494,0.718789,1.78354,1.17834,5.20503,10.9548
0.00461713,0.0772307,0.000847598,0.151946,1967.23,0.344086,0.0336316,213.224,159.593,0.325194,4.32507,1.94569,0.137953,0.231024,0.618777,16.1569,0.63045,-1.90029,2.95938,0.0116609,0.484759,2.42899,0.613232,6.9837,8.31115
0.00277444,0.0527567,0.000676515,0.179718,1914.68,0.182663,0.0431352,173.513,71.6922,0.262393,2.74288,2.70672,0.145847,0.161302,0.550979,33.5432,1.25348,-1.24776,2.80253,0.0108448,0.831764,2.85087,1.25325,5.87628,9.48759
0.00520119,0.0437684,0.00107645,0.184201,1308.0,0.297565,0.0714606,266.589,170.59,0.514059,6.80941,2.27038,0.0505154,0.125881,0.641194,23.7491,1.49728,-1.88804,1.71832,0.00610532,0.880813,1.51671,0.648607,8.95724,12.0256
0.0068127,0.063754,0.00105742,0.102456,1612.7,0.140077,0.0497183,250.559,91.1951,0.494804,6.76111,1.5756,0.116758,0.144423,0.320872,36.1449,1.24963,-1.38205,1.28929,0.00617436,0.652063,1.78704,1.16969,7.67303,13.3292
0.00487803,0.0546114,0.00152792,0.1664,1434.47,0.174626,0.0718767,189.759,176.749,0.3534,6.35091,2.28598,0.0549974,0.326106,0.379308,34.2165,0.701231,-3.15113,3.05535,0.00883213,0.432023,1.51049,0.86313,9.47627,6.4728
0.0066436,0.0701622,0.00118984,0.0980291,2059.77,0.197334,0.07143,237.591,79.0489,0.360679,7.04649,1.19568,0.148913,0.247472,0.405222,35.4762,0.978365,-1.66715,1.37358,0.00933779,0.314754,1.24269,0.678634,3.54561,5.58825
0.00494496,0.0723462,0.000628758,0.111091,915.676,0.238989,0.0662407,122.573,150.96,0.452133,4.19996,2.7805,0.142592,0.192941,0.675928,31.308,0.837342,-3.57809,2.24897,0.00922929,0.410664,1.54384,1.11092,6.87312,9.46059
0.00614695,0.0677086,0.000617409,0.167186,1427.51,0.17851,0.0721491,165.656,83.1846,0.345261,5.96003,2.08909,0.110867,0.366456,0.689529,22.5437,1.39312,-3.50532,2.4087,0.00653506,0.702911,1.94704,1.25364,7.97649,5.38991
0.00323544,0.0440253,0.0013132,0.111933,1665.58,0.185117,0.0279819,125.219,85.8591,0.329559,6.21725,2.05593,0.114297,0.171134,0.296594,25.8267,1.49575,-3.47365,2.8987,0.00701731,0.661945,2.02054,1.10361,5.26323,8.81489
0.00650532,0.0987607,0.000617302,0.118222,821.285,0.352713,0.0337521,189.015,159.526,0.522029,5.08683,1.15406,0.0716277,0.154713,0.276395,35.3422,0.52847,-2.86697,1.55271,0.0116691,0.826794,2.71276,1.27323,5.66706,13.4964
0.00696743,0.0811881,0.000921015,0.146941,1936.58,0.301766,0.0512201,186.237,131.321,0.235899,5.4602,2.428,0.147467,0.218332,0.588081,25.0812,1.46611,-2.54809,2.93337,0.00680498,0.668288,1.20614,0.901914,6.16795,10.9447
0.00731516,0.101898,0.00136894,0.117077,926.3,0.178866,0.0319051,201.515,65.5174,0.244977,3.29044,2.05904,0.136333,0.141518,0.553809,32.4715,1.04835,-3.41092,2.91458,0.00774263,0.355377,2.29164,1.02758,8.99112,10.6483
0.00333241,0.0621412,0.00147297,0.180588,1581.07,0.167604,0.047277,160.211,121.334,0.320558,3.07876,2.94965,0.113512,0.299149,0.618622,29.7637,1.16879,-2.48101,1.6193,0.0109855,0.495254,2.88807,1.22336,10.4777,9.42489
0.00401984,0.0436528,0.00106428,0.168892,1762.62,0.377967,0.0504372,158.104,79.4903,0.219474,3.789,2.45138,0.0961971,0.340759,0.410239,30.6137,0.540965,-2.46431,1.51468,0.0114644,0.657348,2.48925,0.835875,7.34708,11.9798
0.00610066,0.0741044,0.00130338,0.115132,852.724,0.235724,0.0539352,206.399,134.188,0.274027,5.56073,2.56803,0.092699,0.237698,0.669814,31.4732,1.03814,-1.34314,3.39589,0.00732029,0.783417,2.79177,1.24247,8.80709,12.7271
0.0060544,0.0701475,0.00121029,0.100003,1137.09,0.252522,0.0304913,165.297,125.841,0.276898,4.98447,2.26084,0.0704977,0.293185,0.718616,34.4412,0.875697,-1.49619,2.11082,0.00923375,0.834627,3.32859,0.726739,7.9471,11.1949
0.00370399,0.0433138,0.00130261,0.0705679,1069.6,0.261411,0.0437729,231.387,93.6511,0.275507,5.05365,2.27845,0.0507132,0.150977,0.280328,23.5528,1.39015,-2.23669,1.25584,0.0106701,0.693603,1.15563,0.824224,5.2451,9.13499
0.00298113,0.039687,0.00114681,0.120144,1300.92,0.149053,0.0307111,215.009,69.0263,0.410521,3.85056,1.82003,0.0526181,0.363332,0.433386,29.292,1.27195,-2.21179,1.15071,0.00937965,0.568482,1.87055,1.01867,8.24452,6.84147
0.00589313,0.0908936,0.0013009,0.159684,1707.96,0.251355,0.0730589,113.463,143.148,0.448825,4.74517,2.97811,0.0997611,0.30926,0.748293,29.3662,1.45501,-2.04444,3.31339,0.00619134,0.703947,1.89327,0.836538,7.69916,11.1405
0.00655387,0.10147,0.00142409,0.184808,1460.1,0.172176,0.039732,187.763,114.919,0.443664,4.33872,1.65858,0.0841785,0.173662,0.253066,37.0633,1.39,-3.17851,1.50203,0.00965125,0.75345,1.23147,0.993911,8.73821,12.4111
0.00558769,0.0803433,0.00134893,0.0994781,1233.15,0.285432,0.0253817,93.3149,101.081,0.490005,7.22751,1.42412,0.0611133,0.223675,0.40498,31.1112,1.39545,-3.33151,2.91079,0.00479367,0.563056,1.65982,1.06577,8.08188,4.7997
0.00672569,0.0963526,0.00138862,0.18165,2306.88,0.185242,0.0439099,96.9062,136.018,0.427855,4.3047,2.41744,0.107102,0.321291,0.416339,36.1975,0.96618,-1.52714,3.44194,0.0112133,0.463823,1.86822,1.09842,3.72868,10.9854
0.0070099,0.102814,0.00159714,0.129044,1450.03,0.274282,0.0290119,186.274,113.669,0.335176,4.35743,1.79334,0.0945264,0.353057,0.553118,25.5184,0.685572,-1.50388,2.58792,0.00872704,0.918894,3.2797,1.18969,10.1473,10.8719
0.00355166,0.0446185,0.00137409,0.106237,1273.35,0.375381,0.0286066,121.218,141.571,0.42531,3.44965,2.27264,0.112505,0.265011,0.270702,19.4734,0.50033,-1.41077,3.39666,0.0108462,0.517808,1.25589,1.2501,5.56023,10.9303
0.0046192,0.0424203,0.000701827,0.163402,1218.91,0.375366,0.0514043,228.467,66.1914,0.343167,5.82827,1.65374,0.081986,0.299975,0.3609,13.8087,1.01345,-1.59915,2.26251,0.00624052,0.327429,2.92945,0.829174,10.4771,6.55205
0.00600059,0.0826788,0.000922193,0.177426,1480.44,0.264792,0.0429129,184.164,119.748,0.380188,4.55487,1.20326,0.101236,0.162686,0.327073,16.9051,0.549521,-1.60434,1.81875,0.0108458,0.574494,1.15226,1.24318,7.98077,12.9638
0.00407844,0.0561962,0.00147975,0.15996,1488.38,0.389915,0.0705551,103.96,119.33,0.258013,5.74629,2.91471,0.133197,0.250254,0.664299,13.0043,0.650624,-1.55759,2.76377,0.0121406,0.414348,2.29457,0.650429,8.34473,5.79467
0.00555166,0.0665099,0.000962361,0.126293,2118.95,0.374054,0.0591909,261.201,148.235,0.24874,3.63589,2.64872,0.113389,0.234671,0.68736,16.9506,0.748491,-3.0955,2.54696,0.0116,0.338969,1.94157,0.926818,5.96888,11.9594
0.00745711,0.0978173,0.000720017,0.165347,1423.08,0.366466,0.0395597,128.518,70.159,0.412106,4.16029,2.02755,0.144425,0.258722,0.261456,19.7136,1.13844,-1.98912,3.38248,0.0083242,0.652597,2.36423,0.523662,9.72737,7.78771
0.00331826,0.044189,0.00143562,0.167301,1866.88,0.324893,0.049394,173.717,105.598,0.297146,7.09835,2.71176,0.144366,0.233405,0.341559,17.766,0.785173,-2.30798,2.32315,0.00694072,0.53551,1.93719,0.616824,8.81996,8.06811
0.00630029,0.0783019,0.00166264,0.141139,1321.26,0.346326,0.0484526,130.091,93.9391,0.382631,6.26322,2.06389,0.06897,0.271731,0.314075,30.367,1.40176,-2.09877,1.46457,0.00724302,0.685422,3.17428,0.608844,3.52286,5.44478
0.00530978,0.0446484,0.00150027,0.138322,2066.76,0.387093,0.0356411,252.397,75.4972,0.227062,3.93133,1.6326,0.0721576,0.294059,0.332887,30.1409,0.668291,-1.56732,2.3516,0.00869086,0.893538,2.76224,0.998397,9.15571,6.7455
0.00459153,0.0905023,0.000832887,0.163585,2179.51,0.167559,0.0273071,130.852,153.917,0.20837,4.84267,1.61601,0.0685291,0.349736,0.555894,23.5526,1.17351,-2.0082,2.01581,0.00865493,0.533786,3.29212,1.08932,7.4128,5.00216
0.00545927,0.0795922,0.00102527,0.139173,1622.13,0.204566,0.0579342,260.575,124.31,0.330146,5.04017,2.16695,0.0997622,0.270005,0.281402,27.5577,0.65125,-3.13267,2.53023,0.00661344,0.511014,2.406,1.05191,8.45273,6.22615
0.0051797,0.0579614,0.00144479,0.165228,1258.3,0.338561,0.0603918,206.892,157.672,0.486327,4.10185,2.79892,0.136435,0.368347,0.623615,23.2265,1.36119,-1.68373,1.95526,0.00790875,0.496897,1.65918,0.628299,4.21915,12.3605
0.00653015,0.102169,0.000989531,0.144626,1211.52,0.405457,0.0599834,162.552,124.698,0.411468,6.24863,2.52761,0.0720886,0.252442,0.29796,25.3557,1.34733,-1.50709,2.67512,0.0117225,0.696241,1.13877,0.882792,4.59852,5.30486
0.00642883,0.102351,0.00152394,0.0901418,864.806,0.264812,0.070068,138.597,62.1044,0.180633,3.36245,2.36935,0.0897751,0.250494,0.455443,17.9549,0.991446,-1.91579,1.9561,0.00694521,0.399399,3.00715,0.750012,8.68746,9.9187
0.00367882,0.0655478,0.00148824,0.119344,1435.14,0.246691,0.0293845,174.137,142.028,0.501606,3.4879,1.07082,0.0610864,0.360705,0.710428,22.3676,1.07945,-1.53972,2.6948,0.00645532,0.523129,2.70569,1.20032,7.00171,5.0351
0.00595598,0.0843631,0.000730125,0.0798986,963.134,0.2245,0.0433002,260.835,114.38,0.237642,4.1169,2.04087,0.0585181,0.281462,0.376102,26.1543,0.680211,-1.22713,1.24326,0.00535512,0.722735,3.12442,0.879665,5.01788,10.5005
0.00742115,0.102503,0.00148743,0.0975132,839.5,0.312251,0.0330784,160.042,72.5557,0.39688,5.63176,1.68071,0.145787,0.272214,0.430908,21.9956,1.35523,-2.80263,2.68286,0.00879564,0.876489,1.82296,1.27168,6.69458,7.03498
0.00615546,0.0899341,0.00149031,0.103166,1298.19,0.268688,0.061509,212.442,92.9683,0.246033,3.43812,1.59154,0.0864449,0.338411,0.596197,24.7814,0.790678,-1.65066,3.17565,0.00520417,0.623047,1.84961,1.08218,8.08843,6.87425
0.00560883,0.081945,0.00109364,0.112678,961.117,0.201962,0.0268507,256.289,136.015,0.402698,5.074,1.46057,0.144311,0.338182,0.507926,37.393,1.41231,-1.24848,2.76542,0.0070814,0.600921,2.28805,1.28023,7.94499,7.52459
0.00411996,0.0622942,0.00168567,0.0874871,1182.6,0.231269,0.0360656,162.198,146.05,0.343158,5.1147,2.86753,0.111646,0.261728,0.616367,27.6782,1.49018,-2.71301,2.43539,0.0125731,0.875356,1.2058,0.634105,6.45323,9.4843
0.00585246,0.0623035,0.00114285,0.102159,1169.44,0.221034,0.0642326,250.239,145.057,0.400051,3.02545,1.43711,0.0977495,0.331991,0.695237,13.4812,1.39193,-2.61922,3.04364,0.0114465,0.416193,2.91573,0.930022,4.91652,9.53651
0.00522215,0.0665746,0.00140226,0.159927,1273.53,0.289933,0.0274715,260.431,96.082,0.457665,4.72523,2.45769,0.133971,0.128371,0.29782,33.6306,0.834041,-1.36596,3.33353,0.00446093,0.796203,3.07927,1.27205,5.17549,11.9614
0.0071309,0.0895694,0.00145925,0.174757,1433.6,0.390805,0.0604897,211.189,149.883,0.474407,6.5708,2.4253,0.146445,0.30898,0.676465,20.3714,0.607512,-3.24058,2.36082,0.00765546,0.769617,3.03949,1.03239,8.81463,7.49702
0.00523042,0.0416981,0.00150794,0.118007,2074.17,0.251966,0.0705956,121.006,122.582,0.381775,6.49767,2.24517,0.129018,0.310946,0.642374,32.7603,0.591721,-3.09509,1.63396,0.00830564,0.383092,1.7571,0.738871,6.36214,4.60677
0.00520004,0.0966745,0.00102125,0.173716,1262.88,0.347952,0.0403913,212.322,107.034,0.500982,4.66399,2.73745,0.129052,0.259581,0.36345,34.579,1.17178,-2.57763,1.59571,0.00775982,0.350322,2.64353,1.12497,9.52397,4.57826
0.00371483,0.0557435,0.00100821,0.160734,1214.58,0.221462,0.0634694,153.206,62.7934,0.401736,7.0735,1.6896,0.0664071,0.360118,0.400568,35.3314,0.909579,-2.33264,2.70553,0.0066001,0.353839,2.44421,0.705448,3.86499,11.653
0.00661902,0.0664503,0.0013461,0.11656,1694.22,0.194112,0.0683336,208.182,88.1959,0.474534,5.93842,2.84743,0.0512939,0.12719,0.506792,31.0676,0.698456,-2.04677,3.31392,0.0123384,0.793237,2.76993,0.522183,4.46491,13.4072
0.00385365,0.0412044,0.000832722,0.134594,1733.42,0.182407,0.055131,169.013,170.759,0.311701,4.07927,2.36192,0.0506036,0.310936,0.259253,14.9463,1.11884,-1.60472,3.21739,0.00978853,0.316432,3.218,0.494546,8.16875,6.20306
